year,department_code,department_name,geo_code,lat,lon,ps_tavg_c,ps_tmin_c,ps_tmax_c,ps_prcp_mm,ps_et0_mm,ps_ndvi_modis_med,ps_ndvi_s2_med,ps_ndvi_copernicus_med,ps_ndvi_fused,ndvi_source,s2_scene_count_ps,ps_s2_cloud_med,modis_coverage,s2_coverage,fused_coverage,clay_g_kg,sand_g_kg,silt_g_kg,phh2o,soc_dg_kg,yield_t_ha,yield_source,n_missing_features,has_yield,spring_prcp_mm,spring_tavg_c,gdd_sum,summer_prcp_mm,summer_tavg_c,gdd_mar_jul,drought_spring_flag
2010,01,Ain,FR_01,46.105,5.2995,8.747904055818701,4.859467901113934,12.84252506684492,790.5999999999999,0.0,0.3321,,0.3321,0.3321,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.196,agreste_saa,3,1,584.5,10.984319336477128,67.510080541371,301.6,20.601894599303137,74.15674720803766,0
2011,01,Ain,FR_01,46.105,5.2995,10.934269637324586,6.937963793933228,15.431084069586596,752.3,0.0,0.4136499999999999,,0.4136499999999999,0.4136499999999999,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,6.981999999999999,agreste_saa,3,1,247.40000000000003,13.482106471115094,69.33469784274912,539.8,18.60133207184478,77.64898355703484,0
2012,01,Ain,FR_01,46.105,5.2995,10.288721879903386,6.697878835379456,14.151222512810085,1186.0,0.0,0.4760999999999999,,0.4760999999999999,0.4760999999999999,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,6.696,agreste_saa,3,1,580.8,12.127890132397049,66.46879365079364,529.7,20.00546485260771,76.39460010240654,0
2013,01,Ain,FR_01,46.105,5.2995,9.962038947761169,6.4515215597376345,13.820559529184552,1045.3,0.0,0.4124,,0.4124,0.4124,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,6.197,agreste_saa,3,1,951.6,9.616654181205346,63.34047311827957,356.6,20.191612903225806,69.23318835006765,0
2014,01,Ain,FR_01,46.105,5.2995,11.458748065335143,7.750934780831713,15.691084359393209,1020.2,0.0,0.39025,,0.39025,0.39025,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.186,agreste_saa,3,1,462.0,11.905932345388868,66.55029667736676,573.1,19.86108677712182,75.43997059041024,0
2015,01,Ain,FR_01,46.105,5.2995,10.199045177961157,6.096755448365991,15.037518319356591,682.7,0.0,0.3859,,,0.3859,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.191,agreste_saa,4,1,502.7,12.148535309503051,73.87697040862363,234.2,22.757033591408597,81.95967311132634,0
2016,01,Ain,FR_01,46.105,5.2995,9.51300058427186,5.807262649817295,13.751701228340574,594.3,0.0,0.33445,,,0.33445,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,5.497999999999999,agreste_saa,4,1,708.7,10.40365209471767,64.86385413740362,442.9,20.081093735368484,71.37314375488997,0
2017,01,Ain,FR_01,46.105,5.2995,9.314126569351837,5.309686045029613,13.896373743546894,621.7,0.0,0.3974499999999999,,,0.3974499999999999,modis,,,1,0,1,222.0,257.0,520.0,66.0,579.0,7.397,agreste_saa,4,1,484.6,12.333957069075671,70.45552520020304,292.70000000000005,21.76412429378531,80.53011979479763,0
2018,01,Ain,FR_01,46.105,5.2995,11.329439600891211,7.229626544997021,15.818954348570122,555.8,0.0,0.3591999999999999,0.2149534838931991,,0.2149534838931991,s2,34.0,14.4357875,1,1,1,222.0,257.0,520.0,66.0,579.0,6.699,agreste_saa,1,1,604.8,12.409117143387236,74.15095358069935,413.6,21.8075,80.84235143016171,0
2019,01,Ain,FR_01,46.105,5.2995,11.18039173555752,7.4300068670427635,15.378510517461834,998.1,0.0,0.42825,0.3271756054871742,,0.3271756054871742,s2,24.0,22.54818225,1,1,1,222.0,257.0,520.0,66.0,579.0,7.897,agreste_saa,1,1,426.2,11.03657004830918,68.25968599033817,381.9,22.06520531400966,77.24012077294685,0
2020,01,Ain,FR_01,46.105,5.2995,10.574003438922794,6.629479156122415,14.880757372541082,829.5,0.0,0.3365,0.2874203375804188,,0.2874203375804188,s2,21.0,9.7953465,1,1,1,222.0,257.0,520.0,66.0,579.0,6.381,agreste_saa,1,1,443.3,12.746286816269285,70.84729390681004,295.70000000000005,20.45122759856631,79.14131564594047,0
2021,01,Ain,FR_01,46.105,5.2995,9.650909498207884,5.880264336917563,13.76700716845878,1125.8,0.0,0.37635,0.384044486990567,,0.384044486990567,s2,25.0,12.48851675,1,1,1,222.0,257.0,520.0,66.0,579.0,6.798,agreste_saa,1,1,699.7,10.192694145758662,63.36582437275986,777.6,20.19521505376344,70.96851254480286,0
2022,01,Ain,FR_01,46.105,5.2995,12.042656810035842,8.37478494623656,16.249475806451613,1167.8,0.0,0.5782,0.2472420626752478,,0.2472420626752478,s2,38.0,27.673233,1,1,1,222.0,257.0,520.0,66.0,579.0,6.593999999999999,agreste_saa,1,1,254.7,12.73006571087216,74.81704301075268,563.4,22.71826164874552,83.62672043010753,0
2023,01,Ain,FR_01,46.105,5.2995,12.34711917562724,8.158118279569893,17.116209677419356,1713.1999999999998,0.0,0.4087,0.2305918116520353,,0.2305918116520353,s2,60.0,5.2202645,1,1,1,222.0,257.0,520.0,66.0,579.0,6.994,agreste_saa,1,1,560.7,11.837771804062127,70.91028673835125,533.2,22.20413082437276,79.9215770609319,0
2024,01,Ain,FR_01,46.105,5.2995,10.294820788530467,6.914840162743388,14.228878233071782,1515.9,0.0,0.4712499999999999,0.1828127832463595,,0.1828127832463595,s2,15.0,15.8838005,1,1,1,222.0,257.0,520.0,66.0,579.0,5.287,agreste_saa,1,1,1040.2,12.108590203106331,68.05356630824373,536.8,20.78325268817204,77.89227598566308,0
2010,02,Aisne,FR_02,49.5675,3.4955,7.386730730427764,4.23449223826553,10.576722482141736,0.0,0.0,0.448,,0.448,0.448,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,8.369,agreste_saa,3,1,0.0,9.625789991007382,59.45546393288535,0.0,18.49611219732291,65.86959436766796,1
2011,02,Aisne,FR_02,49.5675,3.4955,10.596110608849164,7.190355287334837,14.380607907983093,0.0,0.0,0.67995,,0.67995,0.67995,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,8.199,agreste_saa,3,1,0.0,11.770611691046474,60.26528566295365,0.0,16.305785123966942,67.9234053210733,1
2012,02,Aisne,FR_02,49.5675,3.4955,9.203986715359374,5.580487970980432,12.984536454011282,196.2,0.0,0.5725,,0.5725,0.5725,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,8.123999999999999,agreste_saa,3,1,19.3,10.10570813771518,54.41909983967979,189.9,16.373071046600458,63.06326650634645,1
2013,02,Aisne,FR_02,49.5675,3.4955,9.629710320718646,6.109723085223855,13.184500745434187,177.0,0.0,0.6756,,0.6756,0.6756,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,9.098,agreste_saa,3,1,170.89999999999998,7.837888291517324,55.615592807729904,93.9,17.806519522144523,59.12670391884102,0
2014,02,Aisne,FR_02,49.5675,3.4955,10.27767509738827,6.777240339978922,14.040330838376226,168.8,0.0,0.6222000000000001,,0.6222000000000001,0.6222000000000001,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,9.296,agreste_saa,3,1,65.19999999999999,10.67929607939675,58.97354672526534,134.9,17.436956760316065,66.91180175882238,1
2015,02,Aisne,FR_02,49.5675,3.4955,10.433522266693688,6.837827940328436,14.08579244428659,153.2,0.0,0.6060000000000001,,,0.6060000000000001,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,9.496,agreste_saa,4,1,66.7,9.668438137153167,58.14076788497268,26.7,17.80015916918902,64.60563274983754,1
2016,02,Aisne,FR_02,49.5675,3.4955,8.989113158614735,5.138574267839181,13.133945805079112,59.5,0.0,0.7463500000000001,,,0.7463500000000001,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,5.3,agreste_saa,4,1,175.7,8.966878121878123,55.22336911932278,116.7,16.990038705515534,60.88071177666544,0
2017,02,Aisne,FR_02,49.5675,3.4955,9.391535641239717,5.814576452691207,13.205810313423342,203.9,0.0,0.53145,,,0.53145,modis,,,1,0,1,240.0,288.0,472.0,61.0,562.0,8.4,agreste_saa,4,1,76.1,10.883004668521911,60.890141147970255,94.3,18.68407708471577,70.01716817499728,1
2018,02,Aisne,FR_02,49.5675,3.4955,10.02000177739652,5.994508171017704,14.36481420533542,103.3,0.0,0.43385,0.4684999338768481,,0.4684999338768481,s2,30.0,12.2147005,1,1,1,240.0,288.0,472.0,61.0,562.0,8.2,agreste_saa,1,1,95.9,10.977277670662138,67.0204408271801,55.6,19.78020994786529,72.49225290771702,1
2019,02,Aisne,FR_02,49.5675,3.4955,9.984405903024845,6.637110421812789,13.455816589572509,190.2,0.0,0.6288,0.234060154130395,,0.234060154130395,s2,19.0,15.08857675,1,1,1,240.0,288.0,472.0,61.0,562.0,9.2,agreste_saa,1,1,116.5,10.030797168607942,59.72833959425225,58.4,18.96371268057785,68.01981686697953,0
2020,02,Aisne,FR_02,49.5675,3.4955,10.395514786934744,6.7881705579830784,14.083896767522807,182.8,0.0,0.5461,0.197841726618705,,0.197841726618705,s2,28.0,4.972269,1,1,1,240.0,288.0,472.0,61.0,562.0,8.398,agreste_saa,1,1,82.1,11.153321593124224,61.500795388991534,73.10000000000001,17.57216969077434,68.60430416092136,1
2021,02,Aisne,FR_02,49.5675,3.4955,9.628947132616489,5.888781362007168,13.613364695340502,608.5,0.0,0.6597999999999999,0.4382018267111238,,0.4382018267111238,s2,26.0,12.710428,1,1,1,240.0,288.0,472.0,61.0,562.0,8.2,agreste_saa,1,1,337.6,8.352915173237754,54.25274193548387,631.0,17.933557347670252,60.92586021505376,0
2022,02,Aisne,FR_02,49.5675,3.4955,10.391648745519714,6.99806899641577,14.132159498207889,745.4,0.0,0.53535,0.2280090576554607,,0.2280090576554607,s2,30.0,19.410039,1,1,1,240.0,288.0,472.0,61.0,562.0,8.587,agreste_saa,1,1,236.0,10.851538958313151,62.88410996249706,257.1,19.051574500768048,70.65776587647555,0
2023,02,Aisne,FR_02,49.5675,3.4955,11.647791218637993,8.130555555555556,15.516366487455198,974.4,0.0,0.6497,0.0479809354043219,,0.0479809354043219,s2,30.0,31.5398305,1,1,1,240.0,288.0,472.0,61.0,562.0,8.599,agreste_saa,1,1,641.1,10.082491039426523,60.791810035842296,462.8,19.18937275985663,68.62621863799284,0
2024,02,Aisne,FR_02,49.5675,3.4955,10.118660394265234,7.153769693568081,13.311973384674998,811.6,0.0,0.71375,0.3999661189225817,,0.3999661189225817,s2,10.0,18.28703475,1,1,1,240.0,288.0,472.0,61.0,562.0,6.206,agreste_saa,1,1,975.7,11.13295101553166,59.67767025089606,330.1,17.45983870967742,68.31853046594982,0
2010,03,Allier,FR_03,46.333,3.217,8.297786386593204,3.8232038270774913,12.9682295836227,270.9,0.0,0.7669,,0.7669,0.7669,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,6.5,agreste_saa,3,1,130.2,10.156801346801346,62.11769742883379,240.3,19.076563360881543,68.62353076216714,0
2011,03,Allier,FR_03,46.333,3.217,11.500826612903229,6.760008832242439,16.903794786725115,119.5,0.0,0.6028,,0.6028,0.6028,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,5.3,agreste_saa,3,1,112.1,12.418865497031,64.94926026628049,141.79999999999998,17.802634408602152,72.8618653082973,0
2012,03,Allier,FR_03,46.333,3.217,10.404882489485498,5.9242210010224,15.384289045953214,85.6,0.0,0.702,,0.702,0.702,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,6.5,agreste_saa,3,1,146.2,10.947919813135345,61.22718521404781,110.4,18.57316450022412,69.99008843985426,0
2013,03,Allier,FR_03,46.333,3.217,9.978356148436983,5.703963358449039,14.622945602846633,151.8,0.0,0.6471500000000001,,0.6471500000000001,0.6471500000000001,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,6.4,agreste_saa,3,1,135.1,9.068451267327344,59.723729508196726,49.0,19.20791666666667,65.62118713531537,0
2014,03,Allier,FR_03,46.333,3.217,11.062305183280616,6.563492768135292,16.241043857864348,200.2,0.0,0.736,,0.736,0.736,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,6.484999999999999,agreste_saa,3,1,85.2,10.776027830487031,62.18588619853586,116.3,18.904707805150284,70.13749910176166,1
2015,03,Allier,FR_03,46.333,3.217,10.136539662920509,4.734839611774917,15.812698888754923,94.0,0.0,0.7638,,,0.7638,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,6.191,agreste_saa,4,1,67.7,11.348452174685685,68.39742002397341,39.0,20.995950449145177,76.0372574223474,1
2016,03,Allier,FR_03,46.333,3.217,9.30870256166983,4.55587109061009,14.671874516050533,138.8,0.0,0.5867,,,0.5867,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,5.199,agreste_saa,4,1,152.10000000000002,9.754092964631882,60.73159048809855,101.5,18.902916666666663,67.06811222722898,0
2017,03,Allier,FR_03,46.333,3.217,9.561217992527792,5.148633852208485,14.48806097053127,106.5,0.0,0.6191,,,0.6191,modis,,,1,0,1,192.0,522.0,286.0,59.0,453.0,6.046,agreste_saa,4,1,99.6,11.466060138668546,65.92031797625778,71.69999999999999,20.583649425287355,75.56547926658035,1
2018,03,Allier,FR_03,46.333,3.217,11.211423863496922,6.033907363020951,16.81949973880278,71.8,0.0,0.46365,0.2941889269697449,,0.2941889269697449,s2,34.0,15.943719,1,1,1,192.0,522.0,286.0,59.0,453.0,5.996,agreste_saa,1,1,139.5,11.844509639191529,69.10374397133802,40.9,20.513333333333332,76.56019558424126,0
2019,03,Allier,FR_03,46.333,3.217,11.435855653086822,6.852647980167267,16.285354674656748,175.1,0.0,0.60225,0.2743276107267974,,0.2743276107267974,s2,23.0,19.50195525,1,1,1,192.0,522.0,286.0,59.0,453.0,5.696,agreste_saa,1,1,74.0,10.573283066701634,65.66370967741935,89.3,21.31258064516129,74.34501049042748,1
2020,03,Allier,FR_03,46.333,3.217,10.799771505376343,5.744615228907709,15.985039425763771,92.9,0.0,0.6725000000000001,0.5091066782307025,,0.5091066782307025,s2,26.0,8.815049,1,1,1,192.0,522.0,286.0,59.0,453.0,4.99,agreste_saa,1,1,89.5,12.18065823491392,66.6165053763441,81.6,19.039314516129032,74.62060373699983,1
2021,03,Allier,FR_03,46.333,3.217,9.679435483870968,5.195840053763441,14.804314516129033,267.4,0.0,0.6428,0.7500448147623331,,0.7500448147623331,s2,28.0,9.7015215,1,1,1,192.0,522.0,286.0,59.0,453.0,5.794,agreste_saa,1,1,105.3,9.568718637992832,59.78465053763441,248.2,19.115053763440866,66.93626344086022,1
2022,03,Allier,FR_03,46.333,3.217,11.65633064516129,6.755033602150538,16.858783602150538,265.0,0.0,0.7335,0.5838674481386925,,0.5838674481386925,s2,37.0,13.0738565,1,1,1,192.0,522.0,286.0,59.0,453.0,4.596,agreste_saa,1,1,70.4,12.04283154121864,69.39456989247311,409.1,20.881021505376346,77.8905376344086,1
2023,03,Allier,FR_03,46.333,3.217,12.422694892473118,7.35940188172043,18.05390456989248,294.2,0.0,0.53565,0.4557236580701831,,0.4557236580701831,s2,46.0,1.7420855,1,1,1,192.0,522.0,286.0,59.0,453.0,5.992,agreste_saa,1,1,202.3,11.31078853046595,66.88032258064516,321.5,20.90502688172043,75.74241935483872,0
2024,03,Allier,FR_03,46.333,3.217,10.662204301075269,6.841868279569892,15.140154569892474,419.0,0.0,0.64385,0.3974356539318327,,0.3974356539318327,s2,13.0,26.788715,1,1,1,192.0,522.0,286.0,59.0,453.0,4.892,agreste_saa,1,1,520.0999999999999,11.636236559139784,64.04349462365592,223.9,19.408521505376346,73.72575268817204,0
2010,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,9.638000610500612,4.977687476473902,15.07077956287008,236.6,0.0,0.46725,,0.46725,0.46725,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,3.3,agreste_saa,3,1,176.2,11.139347721521636,69.49243774147,79.39999999999999,21.65784946236559,76.73374208929609,0
2011,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,12.006408383222288,6.772154455860305,18.79274993080129,299.9,0.0,0.4681999999999999,,0.4681999999999999,0.4681999999999999,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,3.6,agreste_saa,3,1,80.8,13.363634427587916,71.6589477383082,155.7,20.17493131868132,80.44076592012638,1
2012,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,11.146815255527605,6.385487421977247,17.001783010988436,341.0,0.0,0.42515,,0.42515,0.42515,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,4.031000000000001,agreste_saa,3,1,271.2,12.45672001333667,71.08264675443573,55.4,22.197641206675225,81.76544245336045,0
2013,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,11.38754928315412,6.497558868898567,17.501166353896952,302.9,0.0,0.45785,,0.45785,0.45785,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,4.041,agreste_saa,3,1,286.9,10.901923536439666,66.97785975612724,119.7,20.811044573404125,74.32785975612724,0
2014,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,12.425217519250005,7.792205187222968,18.23870882570112,237.1,0.0,0.3779,,0.3779,0.3779,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,3.436,agreste_saa,3,1,117.0,12.524540023894865,69.56477272727273,148.9,20.59127525252525,78.75617057673509,0
2015,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,11.323666541635408,6.361818185234737,17.686136746290643,182.0,0.0,0.4816,,,0.4816,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,2.978,agreste_saa,4,1,102.7,13.1168371962583,77.06034360458517,30.9,23.538068181818183,86.42664795241126,1
2016,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,11.200327851570735,6.092275269302872,17.845153834817257,285.7,0.0,0.4781,,,0.4781,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,3.98,agreste_saa,4,1,211.6,11.819369678154764,70.52942877892609,97.9,21.52424682875264,78.50660269196956,0
2017,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,10.250211286298242,4.806207652151191,16.953765437437443,195.5,0.0,0.41045,,,0.41045,modis,,,1,0,1,270.0,268.0,461.0,75.0,486.0,3.601,agreste_saa,4,1,211.9,13.05351618097761,74.64357379362752,102.8,23.01516853932584,85.19088562158453,0
2018,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,12.546282787552949,7.806874613768384,18.42166483382209,227.3,0.0,0.5005,0.1701597920429555,,0.1701597920429555,s2,20.0,14.5913725,1,1,1,270.0,268.0,461.0,75.0,486.0,3.3840000000000003,agreste_saa,1,1,201.2,12.382824458557238,74.27528364269938,95.8,22.1443833943834,81.4372401644385,0
2019,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,12.3765770609319,7.835206038472246,17.913691756272403,439.1,0.0,0.5569500000000001,0.3449039157512981,,0.3449039157512981,s2,26.0,12.17583075,1,1,1,270.0,268.0,461.0,75.0,486.0,3.695,agreste_saa,1,1,145.3,11.65547192353644,71.61566308243728,129.6,23.214408602150534,81.3952329749104,0
2020,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,11.039354838709675,6.2259796835302295,17.065194716282065,229.8,0.0,0.49795,0.340710097548577,,0.340710097548577,s2,21.0,11.0554895,1,1,1,270.0,268.0,461.0,75.0,486.0,3.6,agreste_saa,1,1,219.5,13.038339307048986,73.2468100358423,159.7,21.514283154121863,82.14358422939068,0
2021,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,10.922777777777778,6.228431899641578,16.53371863799283,328.0,0.0,0.4409499999999999,0.4124272280233513,,0.4124272280233513,s2,28.0,4.93174425,1,1,1,270.0,268.0,461.0,75.0,486.0,4.464,agreste_saa,1,1,331.4,10.29973715651135,66.86655913978494,191.3,21.76109318996416,74.42139784946237,0
2022,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,12.528539426523295,8.099408602150538,17.7875,614.8,0.0,0.5386,0.1921845677627466,,0.1921845677627466,s2,50.0,10.1388415,1,1,1,270.0,268.0,461.0,75.0,486.0,2.79,agreste_saa,1,1,164.8,12.126567451041504,78.35002493376967,95.6,24.741075268817205,85.86185289075891,0
2023,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,12.750224014336917,7.765000000000001,18.49516129032258,789.6,0.0,0.6393500000000001,0.1935617397295118,,0.1935617397295118,s2,40.0,3.1287715,1,1,1,270.0,268.0,461.0,75.0,486.0,3.01,agreste_saa,1,1,386.1,12.01984468339307,72.02125448028674,241.3,22.58193548387097,81.22340501792115,0
2024,04,Alpes-de-Haute-Provence,FR_04,44.04,6.101,11.33427788360948,6.858097787555503,17.143941856250578,755.5,0.0,0.5948,0.1414762040467369,,0.1414762040467369,s2,17.0,3.34123725,1,1,1,270.0,268.0,461.0,75.0,486.0,4.113,agreste_saa,1,1,605.9,11.935352449223416,70.69003584229391,251.4,21.891451612903225,79.5889605734767,0
2010,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,8.360075896325895,3.953015799380953,13.758627957522975,236.6,0.0,0.4544,,0.4544,0.4544,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,4.1,agreste_saa,3,1,176.2,10.44874989405882,66.45797868326731,79.39999999999999,20.74879928315412,72.8438482484847,0
2011,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,10.70962828390248,5.989847832600439,17.112583680687127,299.9,0.0,0.45915,,0.45915,0.45915,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,3.5,agreste_saa,3,1,80.8,12.95418263906636,68.41113155578272,155.7,18.8512148962149,76.56497770962888,1
2012,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,9.819535466006831,5.367441510695187,15.394077629745734,341.0,0.0,0.4976,,0.4976,0.4976,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,4.102,agreste_saa,3,1,271.2,11.70334343924327,66.93137347679544,55.4,20.912284482758626,76.93459928324705,0
2013,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,10.081644876181166,5.64665247876956,15.87063626446395,302.9,0.0,0.55345,,0.55345,0.55345,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,4.086,agreste_saa,3,1,286.9,9.8825117796303,63.488159558616246,119.7,19.99166042446941,69.63085618782972,0
2014,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,11.212568508607443,6.808863064451003,16.92285535803297,237.1,0.0,0.54925,,0.54925,0.54925,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,4.583,agreste_saa,3,1,117.0,11.787026834736148,65.82547525819999,148.9,19.555315656565657,74.47171181733977,0
2015,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,9.778882769472856,5.046441153083512,16.15853830107397,182.0,0.0,0.63005,,,0.63005,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,4.668,agreste_saa,4,1,102.7,12.324605475040258,73.49468396337961,30.9,22.46369463869464,81.90120570251005,1
2016,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,9.695938398638472,5.019788120221019,15.914105369059325,285.7,0.0,0.5226000000000001,,,0.5226000000000001,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,4.61,agreste_saa,4,1,211.6,10.624989408400788,66.6085295359846,97.9,20.44478065539112,72.76452953598461,0
2017,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,7.743570878764729,2.725545275118664,14.36007865608696,195.5,0.0,0.3409,,,0.3409,modis,,,1,0,1,281.0,259.0,460.0,75.0,461.0,3.707,agreste_saa,4,1,211.9,12.140708968450904,68.99172018880121,102.8,21.236409544950057,78.89494599525281,0
2018,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,9.88067087953548,5.581754979361766,15.3189600231652,227.3,0.0,0.4358999999999999,0.2675946163128555,,0.2675946163128555,s2,14.0,19.795862,1,1,1,281.0,259.0,460.0,75.0,461.0,3.241,agreste_saa,1,1,201.2,11.934986258092849,71.97527761485827,95.8,21.212333333333333,78.22962544094523,0
2019,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,8.99464889181479,4.9131914976167375,14.360574079157605,439.1,0.0,0.4829,0.3489635238128131,,0.3489635238128131,s2,17.0,25.8989075,1,1,1,281.0,259.0,460.0,75.0,461.0,3.809,agreste_saa,1,1,145.3,9.87011655534768,63.44434408913733,129.6,20.715357867284844,71.04106540061274,0
2020,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,7.966286535760046,3.693075557709914,13.603931236120935,229.8,0.0,0.50335,0.6152918730348786,,0.6152918730348786,s2,11.0,18.5063485,1,1,1,281.0,259.0,460.0,75.0,461.0,3.56,agreste_saa,1,1,219.5,10.756678549950689,63.32409567698047,159.7,18.63776826859776,69.54557218704758,0
2021,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,7.879650537634409,3.8015483870967737,13.024145161290322,1098.1,0.0,0.57155,0.4761911529408897,,0.4761911529408897,s2,15.0,12.0972735,1,1,1,281.0,259.0,460.0,75.0,461.0,4.384,agreste_saa,1,1,824.0,8.001483870967741,55.65838709677419,536.5,18.572129032258065,61.14870967741936,0
2022,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,9.484451612903223,5.492397849462366,14.11560752688172,1336.5,0.0,0.4925,0.1393112159984998,,0.1393112159984998,s2,30.0,11.54675175,1,1,1,281.0,259.0,460.0,75.0,461.0,2.67,agreste_saa,1,1,433.7,9.47651726089417,66.64210905243473,225.6,21.565633473585788,71.56081872985409,0
2023,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,9.82533870967742,5.416956989247312,14.887306451612902,1900.5,0.0,0.46035,0.112625659642008,,0.112625659642008,s2,21.0,3.7667195,1,1,1,281.0,259.0,460.0,75.0,461.0,2.97,agreste_saa,1,1,965.4,8.911870967741935,59.66344086021506,524.9,19.55262365591398,65.84086021505377,0
2024,05,Hautes-Alpes,FR_05,44.5555,6.108499999999999,8.290186395785474,4.276829569422376,13.488362369665571,1266.8,0.0,0.6187,0.1281431318038621,,0.1281431318038621,s2,9.0,9.546646249999998,1,1,1,281.0,259.0,460.0,75.0,461.0,4.211,agreste_saa,1,1,1350.0,8.720587813620071,57.833333333333336,642.2,18.79352688172043,63.74881720430108,0
2010,06,Alpes-Maritimes,FR_06,43.833,7.094,13.543504098360655,10.023792185204387,17.62384159551421,477.2,0.0,0.729,,0.729,0.729,modis,,,1,0,1,304.0,247.0,449.0,70.0,845.0,6.5,agreste_saa,3,1,136.8,13.886196876600104,77.54778417818741,41.7,23.313951612903228,88.28649385560676,0
2011,06,Alpes-Maritimes,FR_06,43.833,7.094,15.748158602150538,11.835696442374768,20.28443136755843,246.7,0.0,0.68905,,0.68905,0.68905,modis,,,1,0,1,304.0,247.0,449.0,70.0,845.0,3.8,agreste_saa,3,1,133.9,15.133936624583884,78.34737181300001,135.5,22.08917441224713,89.58015869824591,0
2012,06,Alpes-Maritimes,FR_06,43.833,7.094,14.879517543859649,11.283713085720992,19.383956855304405,515.6999999999999,0.0,0.7171000000000001,,0.7171000000000001,0.7171000000000001,modis,,,1,0,1,304.0,247.0,449.0,70.0,845.0,4.0,agreste_saa,3,1,190.6,14.166548082624232,76.44030055041972,9.9,23.199360409338027,88.89836506654875,0
2013,06,Alpes-Maritimes,FR_06,43.833,7.094,15.052634408602149,11.35406732011629,19.72447626121756,282.5,0.0,0.6979500000000001,,0.6979500000000001,0.6979500000000001,modis,,,1,0,1,304.0,247.0,449.0,70.0,845.0,3.8,agreste_saa,3,1,441.7,13.52489247311828,74.90897849462365,49.1,22.332983870967745,85.24064516129033,0
